term,coef,se,event_time,ci95_low,ci95_high
event_-6,0.0020143610492696987,0.005723470975320246,-6,-0.009203642062357983,0.01323236416089738
event_-5,-0.0014892153193528102,0.005217581768303986,-5,-0.011715675585228623,0.008737244946523002
event_-4,-0.003902517969115041,0.005029195161117159,-4,-0.013759740484904673,0.005954704546674591
event_-3,-0.005486981179258783,0.010080908363238715,-3,-0.025245561571206665,0.014271599212689098
event_-2,0.006628235010315606,0.009291730481622747,-2,-0.011583556733664978,0.02484002675429619
reference,0.0,,-1,,
event_0,-0.0011595963469342024,0.005797553285537284,0,-0.01252280078658728,0.010203608092718875
event_1,-0.00042793908541894493,0.005024538507891521,1,-0.010276034560886325,0.009420156390048435
event_2,0.00010910745829933316,0.004530810781139456,2,-0.008771281672734,0.008989496589332666
event_3,-0.004038244542442521,0.005383884830706767,3,-0.014590658810627783,0.00651416972574274
