year,corr_exposure_vs_wage_growth_yoy
2001,-0.3054830430620017
2002,0.711442639452603
2003,0.9470056570194274
2004,0.7137910697629222
2005,0.4641138888715986
2006,-0.5075400813083267
2007,-0.32945315853465945
2008,-0.6961019322643808
2009,0.03467440931469017
2010,0.6372148057539666
2011,-0.42800931756028054
2012,0.5162531628914179
2013,0.4408011103292907
2014,-0.6234313035693085
2015,0.22859788136232018
2016,0.32937558536083344
2017,-0.008294514193457496
2018,-0.19481267155288653
2019,-0.24704017503844805
2020,0.44325246452301403
2021,-0.16996392738384314
2022,0.016500218988640337
2023,0.08634861811494197
2024,0.13260296707354483
2025,-0.29078166562829816
